Title,Rating,Reviews,Discount Price,Original Price,Off
Xmobile X6,1.0,,,3899.0,
Xmobile Boom I,3.9,1.0,3599.0,3799.0,5%
E-tachi iPro Fold,3.7,2.0,4849.0,5099.0,5%
Club Mobile Rainbow 5000,3.3,1.0,3369.0,3499.0,4%
Club Mobile A1000 plus,2.6,,3149.0,3299.0,5%
FAYWA Prime 3,2.2,4.0,2149.0,2449.0,12%
XSmart Mate 10,1.4,4.0,21499.0,24999.0,14%
UMIDIGI A15,2.1,1.0,39899.0,42999.0,7%
Hello Tech S1,2.6,,,2299.0,
Hello Tech E500,3.9,,,2599.0,
Hello Tech G3,4.1,,,2599.0,
Hello Tech G8,2.2,,,3050.0,
Samsung Galaxy Z Fold 4,3.4,27.0,341999.0,539999.0,37%
Qmobile E 2000 Music,3.6,2.0,,3899.0,
Realme 13+ 5G,3.4,,78999.0,89999.0,12%
Tecno Phantom V Flip,1.2,,159999.0,199999.0,20%
VGO TEL S9,2.0,1.0,,4049.0,
Itel A26,1.7,18.0,16399.0,22399.0,27%
Itel Power 700 Core,3.8,17.0,3999.0,4349.0,8%
Honor X6,2.0,71.0,25499.0,29999.0,15%
Sparx Neo 6,1.0,20.0,15999.0,16999.0,6%
Calme C5310,4.4,,,2399.0,
Calme C107,4.2,,,2599.0,
Calme M116,1.4,,,2799.0,
Calme C17,2.2,,,2399.0,
ZTE Nubia Focus Pro 5G,2.8,3.0,53999.0,57999.0,7%
me Mobile Magic Power,1.9,4.0,2699.0,2999.0,10%
Memobile Hungama Shine,1.1,,3349.0,3399.0,1%
REMAXX R1280,3.7,,2349.0,2350.0,0%
REMAXX R105,3.1,2.0,,2699.0,
REMAXX Thunder Pro,1.6,,2649.0,2650.0,0%
XMobile Mega Gabbar,2.3,,3999.0,4099.0,2%
XMobile Music King,2.1,,,3899.0,
E-Tachi Mega King,1.3,2.0,,3949.0,
Club Mobile Noori naath,2.7,,3099.0,3199.0,3%
Club Mobile Night Club Pro,4.1,1.0,2899.0,2999.0,3%
Club Mobile Rambo,3.4,,2999.0,3499.0,14%
Faywa Music 700,2.5,,3349.0,3400.0,2%
XSmart Nova 5,2.9,,,18099.0,
UMIDIGI G3 Plus,2.4,,24999.0,29999.0,17%
Oppo Reno 12 5G,3.8,1.0,149999.0,159999.0,6%
Apple iPhone 16 Plus,4.9,,391299.0,407500.0,4%
Apple iPhone 16 Pro,1.8,,441499.0,460000.0,4%
Tecno Spark 8C,3.4,130.0,19499.0,24999.0,22%
Tecno Camon 30 Premier 5G,1.1,4.0,144999.0,158999.0,9%
Xiaomi Mix Flip,2.3,,334999.0,399999.0,16%
VGO TEL S10,3.6,1.0,,4099.0,
GFive Power Bank,4.2,2.0,,3549.0,
me Mobile L109,4.1,,,3149.0,
GRESSO E1280,4.3,16.0,2799.0,3000.0,7%
GRESSO Turbo 2 Plus,1.2,3.0,,2899.0,
XMobile Music Ka Sultan Plus,3.9,,,3899.0,
XMobile Gabbar Plus,4.2,,,3599.0,
XMobile X4 Plus,3.8,,,3749.0,
E-Tachi Magic E5,3.6,2.0,,3749.0,
Club Mobile Music 400,4.7,,,3499.0,
FAYWA F111,3.0,1.0,,2449.0,
Sparx Neo 8 lite,5.0,,18399.0,19999.0,8%
Honor X5 Plus,2.3,10.0,24499.0,28499.0,14%
Honor X9a 5G,2.8,,101999.0,129999.0,22%
Xsmart Core X,3.0,1.0,20899.0,22499.0,7%
UMIDIGI A15C,2.5,,35199.0,37999.0,7%
QMobile Qsmart Blaze,3.6,31.0,14799.0,21999.0,33%
Vivo Y21T,4.6,31.0,48499.0,79999.0,39%
Tecno Phantom V Fold,3.2,,279999.0,349999.0,20%
Calme E1000,3.5,,,3249.0,
Calme Sound Master,1.7,,,3249.0,
DIGIT Hero,3.8,,4049.0,7500.0,46%
GRESSO CR7,3.9,2.0,,2799.0,
XMobile Gabbar Pro Plus,4.1,,,3699.0,
XMobile X1000 Party,1.4,,,3599.0,
Faywa NEX1 4G,3.9,2.0,7599.0,7799.0,3%
Memobile iSmart Gold,2.8,,,3699.0,
Faywa F10,1.0,,2849.0,3199.0,11%
Xmobile Dabang Pro,3.0,,,3799.0,
GIONEE L800i,3.9,,,3799.0,
Calme Spark,2.3,2.0,,2699.0,
Memobile Hungama Max,2.4,,,3399.0,
OUKITEL C36,2.3,,20499.0,20999.0,2%
REMAXX R110,1.0,2.0,2349.0,2350.0,0%
REMAXX Star,1.5,1.0,,2899.0,
Xmobile X101,1.5,1.0,,2599.0,
Faywa Music 500,2.1,,3299.0,3600.0,8%
AllCall Hero 20i,4.9,,19099.0,19999.0,5%
CALME 4G Power,3.3,3.0,9399.0,9800.0,4%
REMAXX Hero,2.4,1.0,,2450.0,
Xmobile D4 Lite,2.2,1.0,,4049.0,
Xmobile X4 Ultra,4.2,,,3745.0,
Faywa J1 Classic,2.6,,,3149.0,
Faywa Music 800,4.6,,3099.0,3300.0,6%
AllCall Magic 15,2.9,,18629.0,19499.0,4%
Memobile ismart,2.3,3.0,3199.0,3299.0,3%
Xmobile G3 Plus,2.5,,,3899.0,
VGO TEL i20,3.0,,,4699.0,
Calme C16,4.4,,2399.0,2999.0,20%
Calme C7 pro,1.2,4.0,,3349.0,
Memobile XL 4000,2.4,,3199.0,3299.0,3%
Gresso A10,3.9,,,3300.0,
REMAXX Eco,2.1,1.0,2499.0,2500.0,0%
XMOBILE E4 NEW,4.7,1.0,,3799.0,
Xmobile Power X,1.1,,,3899.0,
Xmobile X2 Plus,2.6,,,2899.0,
Xmobile X16,4.5,1.0,,3999.0,
Faywa F4,3.6,,2899.0,2985.0,3%
QMobile SL50i,3.5,3.0,,3999.0,
Qmobile QGuru,4.6,10.0,,1999.0,
Nokia 2660 Flip,4.1,36.0,,16199.0,
Samsung Galaxy A13,1.7,403.0,,32999.0,
Samsung Galaxy S22 Ultra,2.6,101.0,,289999.0,
Samsung Galaxy S22,5.0,25.0,,194999.0,
Samsung Galaxy Z Flip 5,2.9,2.0,,303999.0,
Oppo A54,5.0,107.0,,36999.0,
Infinix Hot 30i,3.1,41.0,,22549.0,
Xiaomi Redmi A1+,3.7,321.0,,16299.0,
Vivo Y03,2.6,38.0,,25999.0,
Realme GT 6,4.6,,,149999.0,
Tecno Camon 20 Pro,4.7,79.0,,43999.0,
Dcode Bold 2,2.6,24.0,,18999.0,
VGO TEL i251,2.7,6.0,,3399.0,
VGO TEL i12,2.3,2.0,,4949.0,
itel P17 Pro,4.7,54.0,,11299.0,
Itel Super Guru 600,2.6,19.0,,3399.0,
GFive Style,4.2,2.0,,2999.0,
GFive 2Eye,4.9,13.0,,1949.0,
GFive star,1.8,8.0,,1999.0,
GFive Mega,2.5,,,2149.0,
GFive Ultra pro,2.2,6.0,,3099.0,
Jazz Digit Crown 4G,3.5,,,6299.0,
Jazz Digit E3 Pro 4G,1.6,73.0,,10999.0,
Digit Infinity Max,4.1,,,18799.0,
ZTE Blade A72s,3.1,138.0,,22499.0,
ZTE Blade A54,3.0,46.0,,18999.0,
me Mobile Magic Star,4.3,21.0,,3550.0,
Memobile Banana,4.6,4.0,,2199.0,
GRESSO R106 Pro,3.8,,,2549.0,
GRESSO R106,4.2,1.0,,2799.0,
Club Mobile A1000,4.5,4.0,,3799.0,
Club mobile One Plus,1.4,,,3299.0,
Faywa L1,3.3,3.0,,2549.0,
XMobile F6 Plus,2.1,3.0,,3899.0,
XMobile X1,1.5,5.0,,2799.0,
XMobile X3,4.8,2.0,,2899.0,
